Filename,Sequence #,Rotor,Actuation duration (s),Voltage (V),Phase diff (deg),Freq (Hz),Avg velocity (mm/s),Avg velocity (rpm),Avg velocity (rad/s),Average max torque (mN.m),Pmech (mW)
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_210deg_2.5V_22_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,210,70,-0.16298581317129635,-0.051879995640127914,-0.005432860439043212,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_100deg_2.5V_11_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,100,70,4.857890890083705,1.5463146963158176,0.1619296963361235,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_170deg_2.5V_18_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,170,70,13.324533392243179,4.2413307075370446,0.4441511130747726,1.9451951439753667,0.8639605883443017
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_310deg_2.5V_32_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,310,70,-0.14453085536225227,-0.04600560012040444,-0.004817695178741742,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_280deg_2.5V_29_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,280,70,-2.5959811679971434,-0.8263264701204347,-0.08653270559990478,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_210deg_2.5V_22_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,210,70,4.4429802548956605,1.4142445392526672,0.14809934182985535,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_140deg_2.5V_15_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,140,70,0.01949666674631297,0.0062059817729821784,0.0006498888915437656,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_70deg_2.5V_8_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,70,70,5.719732438372888,1.8206473814602095,0.19065774794576293,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_110deg_2.5V_12_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,110,70,0.06396992789872397,0.020362260468628123,0.0021323309299574656,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_170deg_2.5V_18_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,170,70,7.473827429807602,2.378993158539351,0.24912758099358673,0.0,0.0
